"Data","Último","Abertura","Máxima","Mínima","Var%"
"11.02.2019","3,7577","3,7312","3,7747","3,7274","0,76%"
"08.02.2019","3,7292","3,7195","3,7477","3,7027","0,34%"
"07.02.2019","3,7167","3,6996","3,7375","3,6990","0,50%"
"06.02.2019","3,6983","3,6696","3,7161","3,6672","0,78%"
"05.02.2019","3,6698","3,6637","3,6846","3,6610","0,03%"
"04.02.2019","3,6687","3,6597","3,6877","3,6592","0,25%"
"01.02.2019","3,6597","3,6455","3,6822","3,6376","0,43%"
"31.01.2019","3,6440","3,6865","3,6865","3,6358","-1,11%"
"30.01.2019","3,6850","3,7205","3,7321","3,6741","-0,95%"
"29.01.2019","3,7202","3,7617","3,7648","3,7150","-1,11%"
"28.01.2019","3,7619","3,7780","3,7878","3,7500","-0,24%"
"25.01.2019","3,7708","3,7713","3,7713","3,7708","-0,07%"
"24.01.2019","3,7733","3,7746","3,7955","3,7381","0,19%"
"23.01.2019","3,7663","3,7943","3,8134","3,7561","-1,28%"
"22.01.2019","3,8152","3,7545","3,8173","3,7457","1,60%"
"21.01.2019","3,7550","3,7609","3,7811","3,7541","0,09%"
"18.01.2019","3,7517","3,7480","3,7743","3,7285","0,03%"
"17.01.2019","3,7504","3,7329","3,7744","3,7262","0,37%"
"16.01.2019","3,7366","3,7151","3,7381","3,7084","0,52%"
"15.01.2019","3,7172","3,7024","3,7325","3,6947","0,49%"
"14.01.2019","3,6991","3,7121","3,7357","3,6846","-0,33%"
"11.01.2019","3,7113","3,6943","3,7300","3,6913","0,02%"
"10.01.2019","3,7105","3,6807","3,7249","3,6746","0,81%"
"09.01.2019","3,6807","3,7138","3,7155","3,6743","-0,88%"
"08.01.2019","3,7133","3,7373","3,7412","3,7034","-0,60%"
"07.01.2019","3,7356","3,7139","3,7384","3,6898","0,54%"
"04.01.2019","3,7155","3,7593","3,7850","3,7088","-1,09%"
"03.01.2019","3,7565","3,7960","3,8074","3,7376","-0,88%"
"02.01.2019","3,7900","3,8786","3,8971","3,7828","-2,35%"
"01.01.2019","3,8813","3,8813","3,8813","3,8813","0,00%"
"31.12.2018","3,8813","3,8813","3,8813","3,8813","0,00%"
"28.12.2018","3,8813","3,8769","3,8956","3,8298","0,20%"
"27.12.2018","3,8735","3,9202","3,9456","3,8685","-1,24%"
"26.12.2018","3,9220","3,9040","3,9405","3,8918","0,46%"
"25.12.2018","3,9040","3,9040","3,9040","3,9040","0,00%"
"24.12.2018","3,9040","3,9040","3,9040","3,9040","0,00%"
"21.12.2018","3,9040","3,8408","3,9071","3,8393","1,61%"
"20.12.2018","3,8422","3,8971","3,8971","3,8327","-1,42%"
"19.12.2018","3,8977","3,9015","3,9138","3,8634","-0,38%"
"18.12.2018","3,9124","3,8970","3,9173","3,8836","0,33%"
"17.12.2018","3,8995","3,9173","3,9285","3,8772","-0,45%"
"14.12.2018","3,9171","3,9113","3,9210","3,8877","0,67%"
"13.12.2018","3,8911","3,8551","3,8974","3,8507","0,92%"
"12.12.2018","3,8555","3,8936","3,8997","3,8362","-1,24%"
"11.12.2018","3,9040","3,9202","3,9226","3,8876","-0,36%"
"10.12.2018","3,9181","3,9076","3,9455","3,8914","0,27%"
"07.12.2018","3,9075","3,8817","3,9239","3,8571","0,73%"
"06.12.2018","3,8793","3,8910","3,9445","3,8733","0,28%"
"05.12.2018","3,8686","3,8517","3,8832","3,8341","0,42%"
"04.12.2018","3,8525","3,8290","3,8675","3,8177","0,27%"
"03.12.2018","3,8423","3,8677","3,8677","3,8161","-0,64%"
"30.11.2018","3,8669","3,8496","3,8888","3,8380","0,37%"
"29.11.2018","3,8527","3,8516","3,8752","3,8331","0,04%"
"28.11.2018","3,8510","3,8790","3,8878","3,8317","-0,62%"
"27.11.2018","3,8752","3,9228","3,9241","3,8619","-1,67%"
"26.11.2018","3,9410","3,8184","3,9452","3,8171","2,94%"
"23.11.2018","3,8283","3,8035","3,8306","3,7948","0,63%"
"22.11.2018","3,8045","3,7904","3,8269","3,7902","0,18%"
"21.11.2018","3,7976","3,7560","3,8034","3,7560","1,08%"
"20.11.2018","3,7572","3,7563","3,7572","3,7563","0,01%"
"19.11.2018","3,7570","3,7473","3,7736","3,7427","0,36%"
"16.11.2018","3,7435","3,7723","3,7827","3,7296","-1,08%"
"15.11.2018","3,7843","3,7843","3,7843","3,7843","0,01%"
"14.11.2018","3,7841","3,8032","3,8194","3,7661","-0,50%"
"13.11.2018","3,8032","3,7561","3,8313","3,7529","0,95%"
"12.11.2018","3,7675","3,7487","3,7696","3,7361","0,91%"
"09.11.2018","3,7335","3,7610","3,7750","3,7252","-0,72%"
"08.11.2018","3,7605","3,7297","3,7642","3,7158","0,77%"
"07.11.2018","3,7318","3,7618","3,7874","3,7220","-0,79%"
"06.11.2018","3,7615","3,7270","3,7701","3,7237","0,95%"
"05.11.2018","3,7262","3,6968","3,7326","3,6910","0,80%"
"02.11.2018","3,6968","3,7039","3,7039","3,6963","-0,12%"
"01.11.2018","3,7012","3,7231","3,7241","3,6799","-0,56%"
"31.10.2018","3,7220","3,6969","3,7445","3,6854","0,67%"
"30.10.2018","3,6974","3,7175","3,7359","3,6768","-0,57%"
"29.10.2018","3,7187","3,6437","3,7226","3,5819","2,08%"
"26.10.2018","3,6429","3,7059","3,7302","3,6395","-1,70%"
"25.10.2018","3,7058","3,7361","3,7361","3,6818","-0,78%"
"24.10.2018","3,7350","3,6950","3,7475","3,6827","1,10%"
"23.10.2018","3,6942","3,6883","3,7237","3,6856","0,22%"
"22.10.2018","3,6860","3,6954","3,7214","3,6698","-0,78%"
"19.10.2018","3,7149","3,7220","3,7273","3,6875","-0,18%"
"18.10.2018","3,7216","3,6875","3,7313","3,6726","0,92%"
"17.10.2018","3,6875","3,7242","3,7460","3,6640","-1,01%"
"16.10.2018","3,7252","3,7355","3,7363","3,6913","-0,28%"
"15.10.2018","3,7357","3,7561","3,7645","3,7125","-1,25%"
"12.10.2018","3,7830","3,7838","3,7838","3,7824","0,05%"
"11.10.2018","3,7812","3,7565","3,7858","3,7159","0,68%"
"10.10.2018","3,7555","3,7163","3,7687","3,7109","1,08%"
"09.10.2018","3,7155","3,7818","3,7911","3,7005","-1,68%"
"08.10.2018","3,7790","3,7275","3,7826","3,7094","-1,62%"
"05.10.2018","3,8413","3,8742","3,8950","3,8376","-0,86%"
"04.10.2018","3,8745","3,9017","3,9355","3,8732","-0,69%"
"03.10.2018","3,9015","3,9415","3,9415","3,8220","-1,01%"
"02.10.2018","3,9414","4,0186","4,0188","3,9058","-1,91%"
"01.10.2018","4,0181","4,0500","4,0633","4,0037","-0,77%"
"28.09.2018","4,0491","4,0147","4,0580","3,9898","0,92%"
"27.09.2018","4,0123","4,0343","4,0553","3,9665","-0,49%"
"26.09.2018","4,0322","4,0792","4,0945","4,0095","-1,07%"
"25.09.2018","4,0757","4,0893","4,1418","4,0682","-0,42%"
"24.09.2018","4,0928","4,0656","4,0975","4,0362","1,02%"
"21.09.2018","4,0516","4,0770","4,0958","4,0278","-0,63%"
"20.09.2018","4,0771","4,1273","4,1311","4,0671","-1,32%"
"19.09.2018","4,1315","4,1631","4,1762","4,0976","-0,69%"
"18.09.2018","4,1604","4,1342","4,1651","4,1174","0,68%"
"17.09.2018","4,1324","4,1744","4,2041","4,1159","-1,00%"
"14.09.2018","4,1742","4,2063","4,2105","4,1579","-0,80%"
"13.09.2018","4,2077","4,1616","4,2101","4,1244","1,20%"
"12.09.2018","4,1579","4,1528","4,1677","4,1106","0,11%"
"11.09.2018","4,1535","4,0864","4,1798","4,0864","1,63%"
"10.09.2018","4,0867","4,0679","4,1280","4,0524","0,67%"
"07.09.2018","4,0597","4,0597","4,0597","4,0597","0,02%"
"06.09.2018","4,0590","4,1448","4,1658","4,0357","-2,11%"
"05.09.2018","4,1466","4,1570","4,1863","4,1119","-0,33%"
"04.09.2018","4,1602","4,1566","4,1908","4,1375","0,03%"
"03.09.2018","4,1590","4,0926","4,1606","4,0916","2,55%"
"31.08.2018","4,0556","4,1486","4,1776","4,0532","-2,26%"
"30.08.2018","4,1495","4,1057","4,2150","4,1029","1,02%"
"29.08.2018","4,1074","4,1389","4,1647","4,1016","-0,65%"
"28.08.2018","4,1342","4,0797","4,1475","4,0617","1,39%"
"27.08.2018","4,0775","4,1055","4,1144","4,0470","-0,60%"
"24.08.2018","4,1020","4,1146","4,1326","4,0720","-0,33%"
"23.08.2018","4,1155","4,0418","4,1284","4,0408","1,81%"
"22.08.2018","4,0425","4,0507","4,0915","4,0312","-0,13%"
"21.08.2018","4,0477","3,9697","4,0533","3,9558","1,96%"
"20.08.2018","3,9700","3,9139","3,9715","3,9139","1,49%"
"17.08.2018","3,9116","3,9078","3,9537","3,9036","0,11%"
"16.08.2018","3,9072","3,9055","3,9297","3,8672","0,04%"
"15.08.2018","3,9055","3,8665","3,9275","3,8660","0,99%"
"14.08.2018","3,8673","3,8849","3,9038","3,8590","-0,43%"
"13.08.2018","3,8840","3,8585","3,9292","3,8585","0,63%"
"10.08.2018","3,8596","3,8020","3,8746","3,8009","1,53%"
"09.08.2018","3,8015","3,7718","3,8217","3,7718","0,78%"
"08.08.2018","3,7721","3,7525","3,7734","3,7355","0,55%"
"07.08.2018","3,7515","3,7370","3,7723","3,7033","0,41%"
"06.08.2018","3,7363","3,7048","3,7372","3,6902","0,76%"
"03.08.2018","3,7080","3,7519","3,7539","3,7000","-1,13%"
"02.08.2018","3,7503","3,7520","3,7822","3,7491","0,01%"
"01.08.2018","3,7499","3,7565","3,7703","3,7310","-0,17%"
"31.07.2018","3,7563","3,7300","3,7645","3,7220","0,69%"
"30.07.2018","3,7307","3,7139","3,7323","3,6956","0,52%"
"27.07.2018","3,7114","3,7464","3,7477","3,7065","-0,93%"
"26.07.2018","3,7462","3,6886","3,7483","3,6886","1,56%"
"25.07.2018","3,6886","3,7483","3,7485","3,6886","-1,59%"
"24.07.2018","3,7481","3,7833","3,7872","3,7321","-0,91%"
"23.07.2018","3,7826","3,7662","3,8028","3,7662","0,38%"
"20.07.2018","3,7681","3,8319","3,8319","3,7584","-1,60%"
"19.07.2018","3,8295","3,8495","3,8923","3,8225","-0,56%"
"18.07.2018","3,8512","3,8373","3,8647","3,8190","0,32%"
"17.07.2018","3,8388","3,8634","3,8801","3,8386","-0,56%"
"16.07.2018","3,8605","3,8516","3,8742","3,8337","0,23%"
"13.07.2018","3,8518","3,8821","3,9005","3,8441","-0,78%"
"12.07.2018","3,8822","3,8744","3,9030","3,8373","0,13%"
"11.07.2018","3,8773","3,8169","3,8859","3,8135","1,63%"
"10.07.2018","3,8152","3,8836","3,8872","3,7936","-1,48%"
"09.07.2018","3,8727","3,8653","3,8727","3,8649","0,26%"
"06.07.2018","3,8628","3,9322","3,9529","3,8594","-1,78%"
"05.07.2018","3,9327","3,9133","3,9417","3,8855","0,49%"
"04.07.2018","3,9137","3,8941","3,9194","3,8855","0,42%"
"03.07.2018","3,8975","3,9125","3,9152","3,8731","-0,39%"
"02.07.2018","3,9129","3,8790","3,9207","3,8761","0,92%"
