"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"08.11.2018","60,67","61,64","62,42","60,40","764,55K","-1,62%"
"07.11.2018","61,67","61,74","63,18","61,20","866,63K","-0,87%"
"06.11.2018","62,21","62,70","63,32","61,31","761,24K","-1,41%"
"05.11.2018","63,10","62,99","64,14","62,52","609,13K","-0,06%"
"02.11.2018","63,14","63,50","63,95","62,63","708,91K","-0,86%"
"01.11.2018","63,69","64,88","65,39","63,11","790,29K","-2,48%"
"31.10.2018","65,31","66,32","67,00","64,81","666,49K","-1,31%"
"30.10.2018","66,18","66,68","67,26","65,33","680,44K","-1,28%"
"29.10.2018","67,04","67,55","67,95","66,29","477,49K","-0,81%"
"26.10.2018","67,59","66,95","67,88","66,20","595,21K","0,39%"
"25.10.2018","67,33","66,36","67,65","65,99","573,10K","0,76%"
"24.10.2018","66,82","66,17","67,72","66,05","775,96K","0,59%"
"23.10.2018","66,43","69,55","69,66","65,74","853,27K","-3,96%"
"22.10.2018","69,17","69,41","69,65","68,27","27,42K","0,07%"
"19.10.2018","69,12","68,68","69,77","68,56","108,31K","0,68%"
"18.10.2018","68,65","70,03","70,03","68,47","215,34K","-1,58%"
"17.10.2018","69,75","72,17","72,43","69,43","651,58K","-3,02%"
"16.10.2018","71,92","71,72","72,29","71,02","535,00K","0,20%"
"15.10.2018","71,78","71,85","72,70","70,85","568,61K","0,62%"
"12.10.2018","71,34","70,99","72,01","70,64","626,67K","0,52%"
"11.10.2018","70,97","72,68","72,76","70,51","783,96K","-3,01%"
"10.10.2018","73,17","74,66","75,08","72,38","652,74K","-2,39%"
"09.10.2018","74,96","74,21","75,28","74,00","623,54K","0,90%"
"08.10.2018","74,29","74,40","74,58","73,07","554,94K","-0,07%"
"05.10.2018","74,34","74,67","75,22","73,83","613,22K","0,01%"
"04.10.2018","74,33","76,18","76,47","73,88","687,95K","-2,72%"
"03.10.2018","76,41","75,12","76,90","74,30","698,82K","1,57%"
"02.10.2018","75,23","75,42","75,91","74,93","463,62K","-0,09%"
"01.10.2018","75,30","73,29","75,77","72,95","601,45K","2,80%"
"28.09.2018","73,25","72,18","73,73","71,88","544,05K","1,57%"
"27.09.2018","72,12","72,01","72,60","71,71","454,55K","0,77%"
"26.09.2018","71,57","72,09","72,38","71,47","464,46K","-0,98%"
"25.09.2018","72,28","72,25","72,78","71,89","551,28K","0,28%"
"24.09.2018","72,08","71,14","72,74","71,14","576,89K","1,84%"
"21.09.2018","70,78","70,20","71,80","69,98","855,94K","-0,03%"
"20.09.2018","70,80","71,39","71,81","70,73","28,40K","-0,45%"
"19.09.2018","71,12","69,71","71,50","69,65","125,21K","1,82%"
"18.09.2018","69,85","68,80","70,42","68,53","234,20K","1,36%"
"17.09.2018","68,91","68,93","69,72","68,53","422,29K","-0,12%"
"14.09.2018","68,99","68,79","69,91","67,94","611,08K","0,58%"
"13.09.2018","68,59","70,24","70,28","68,35","684,94K","-2,53%"
"12.09.2018","70,37","69,89","71,26","69,50","800,54K","1,62%"
"11.09.2018","69,25","67,53","70,01","67,48","676,87K","2,53%"
"10.09.2018","67,54","67,82","68,52","67,33","571,17K","-0,31%"
"07.09.2018","67,75","67,88","68,08","66,86","530,90K","-0,03%"
"06.09.2018","67,77","68,64","69,02","67,00","633,82K","-1,38%"
"05.09.2018","68,72","69,43","69,59","68,56","542,10K","-1,65%"
"04.09.2018","69,87","69,89","71,40","69,08","785,98K","-0,36%"
"03.09.2018","70,12","69,91","70,20","69,54","-","0,29%"
"02.09.2018","69,92","69,91","69,99","69,88","-","0,17%"
"31.08.2018","69,80","70,06","70,36","69,64","419,74K","-0,64%"
"30.08.2018","70,25","69,71","70,50","69,55","445,58K","1,06%"
"29.08.2018","69,51","68,54","69,76","68,37","497,10K","1,43%"
"28.08.2018","68,53","68,93","69,20","68,21","426,83K","-0,49%"
"27.08.2018","68,87","68,57","68,97","68,34","332,61K","0,22%"
"24.08.2018","68,72","67,90","69,31","67,78","517,80K","1,31%"
"23.08.2018","67,83","68,07","68,12","67,32","450,69K","-0,04%"
"22.08.2018","67,86","66,08","68,15","65,98","581,90K","0,76%"
"21.08.2018","67,35","66,62","68,10","66,52","27,15K","1,38%"
"20.08.2018","66,43","65,91","66,68","65,59","112,71K","0,79%"
"17.08.2018","65,91","65,47","66,39","65,30","171,40K","0,69%"
"16.08.2018","65,46","64,95","65,52","64,43","383,38K","0,69%"
"15.08.2018","65,01","66,62","66,90","64,51","573,47K","-3,03%"
"14.08.2018","67,04","67,42","68,37","66,58","538,48K","-0,24%"
"13.08.2018","67,20","67,78","67,95","65,71","578,22K","-0,64%"
"10.08.2018","67,63","66,74","67,87","66,14","524,49K","1,23%"
"09.08.2018","66,81","66,79","67,41","66,49","509,40K","-0,19%"
"08.08.2018","66,94","69,09","69,37","66,32","760,31K","-3,22%"
"07.08.2018","69,17","68,90","69,83","68,81","485,03K","0,23%"
"06.08.2018","69,01","68,65","69,92","68,50","495,61K","0,76%"
"03.08.2018","68,49","68,99","69,24","67,87","476,62K","-0,68%"
"02.08.2018","68,96","67,86","69,36","66,92","531,07K","1,92%"
"01.08.2018","67,66","68,43","68,52","67,31","576,56K","-1,60%"
"31.07.2018","68,76","70,05","70,22","67,98","519,07K","-1,95%"
"30.07.2018","70,13","69,01","70,43","68,80","463,01K","2,10%"
"27.07.2018","68,69","69,58","69,77","68,26","460,45K","-1,32%"
"26.07.2018","69,61","69,38","69,92","68,92","489,06K","0,45%"
"25.07.2018","69,30","68,77","69,70","68,20","622,91K","1,14%"
"24.07.2018","68,52","67,80","69,05","67,56","524,59K","0,93%"
"23.07.2018","67,89","68,17","69,31","67,60","555,92K","-3,65%"
"20.07.2018","70,46","69,39","71,10","69,37","25,56K","1,44%"
"19.07.2018","69,46","69,00","70,17","67,80","103,22K","1,02%"
"18.07.2018","68,76","67,61","69,06","67,04","187,31K","1,00%"
"17.07.2018","68,08","68,03","68,44","67,03","440,73K","0,03%"
"16.07.2018","68,06","70,52","70,87","67,58","530,48K","-4,15%"
"13.07.2018","71,01","70,38","71,66","69,84","530,28K","0,97%"
"12.07.2018","70,33","70,60","71,24","69,23","707,89K","-0,07%"
"11.07.2018","70,38","74,20","74,26","70,02","861,73K","-5,03%"
"10.07.2018","74,11","74,04","74,70","73,65","586,83K","0,35%"
"09.07.2018","73,85","73,87","74,28","72,99","533,00K","0,07%"
"06.07.2018","73,80","73,16","74,01","72,14","611,42K","1,18%"
"05.07.2018","72,94","74,23","74,90","72,53","841,63K","-1,61%"
"04.07.2018","74,13","74,62","74,76","73,52","-","-0,01%"
"03.07.2018","74,14","74,08","75,27","72,73","667,24K","0,27%"
"02.07.2018","73,94","73,62","74,35","72,51","652,17K","-0,28%"
